"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","mean.relief","sd.relief","log.sponges","broad.macroalgae","broad.reef","distance.to.ramp","aspect","log.tpi","log.roughness","log.slope","depth","status","planned.or.exploratory","cumsum.wi"
"depth+log.roughness+mean.relief","depth+log.roughness+mean.relief",1220.94249013731,1245.88715491975,0.05539,NA,13,0,0,0,0.794,0.718,1,0,0,0,0,0,0,0,1,0,1,0,0,0.794
"aspect+mean.relief","aspect+mean.relief",185.162716579765,204.012941417875,0.05151,NA,9.33,2,0,0,0.165,0.246,1,0,0,0,0,0,1,0,0,0,0,0,0,0.165
"aspect+mean.relief+status","aspect+mean.relief+status",186.09556251181,208.005284925776,0.07711,NA,10.3,2,0.933,3.992,0.103,0.033,1,0,0,0,0,0,1,0,0,0,0,1,0,0.268
"aspect+mean.relief+sd.relief","aspect+mean.relief+sd.relief",186.711506390454,211.656171172899,0.09867,NA,13.51,5,1.549,7.643,0.076,0.005,1,1,0,0,0,0,1,0,0,0,0,0,0,0.344
"aspect+mean.relief+planned.or.exploratory","aspect+mean.relief+planned.or.exploratory",187.246760450106,209.156482864072,0.04861,NA,10.37,2,2.084,5.144,0.058,0.019,1,0,0,0,0,0,1,0,0,0,0,0,1,0.402
"aspect+depth+mean.relief","aspect+depth+mean.relief",187.282642939761,212.227307722206,0.07941,NA,13.23,5,2.12,8.214,0.057,0.004,1,0,0,0,0,0,1,0,0,0,1,0,0,0.459
"aspect+log.sponges+mean.relief","aspect+log.sponges+mean.relief",187.920436693062,212.865101475507,0.05686,NA,13.39,3,2.758,8.852,0.042,0.003,1,0,1,0,0,0,1,0,0,0,0,0,0,0.501
"log.roughness.by.planned.or.exploratory+log.tpi.by.planned.or.exploratory+planned.or.exploratory","log.roughness.by.planned.or.exploratory+log.tpi.by.planned.or.exploratory+planned.or.exploratory",188.000639766236,221.898542281404,0.00115,NA,18.43,9,2.838,17.886,0.04,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.541
"aspect+log.tpi+mean.relief","aspect+log.tpi+mean.relief",188.135624341126,213.08028912357,0.0808,NA,13.3,4,2.973,9.067,0.037,0.003,1,0,0,0,0,0,1,1,0,0,0,0,0,0.578
"distance.to.ramp+log.slope+mean.relief","distance.to.ramp+log.slope+mean.relief",414.116438456514,439.061103238959,0.08684,NA,13,2,0,3.294,0.263,0.028,1,0,0,0,0,1,0,0,0,1,0,0,0,0.263
"broad.macroalgae+distance.to.ramp+log.slope","broad.macroalgae+distance.to.ramp+log.slope",416.77768266403,441.722347446475,0.13409,NA,13,3,2.661,5.955,0.07,0.007,0,0,0,1,0,1,0,0,0,1,0,0,0,0.333
"distance.to.ramp+log.roughness+mean.relief","distance.to.ramp+log.roughness+mean.relief",416.840541209413,441.785205991858,0.07777,NA,13,2,2.724,6.018,0.067,0.007,1,0,0,0,0,1,0,0,1,0,0,0,0,0.4
"aspect.by.status+broad.reef.by.status+status","aspect.by.status+broad.reef.by.status+status",2246.87925943843,2280.77716195359,0.00354,NA,18.03,0,0,0,0.979,0.979,0,0,0,0,1,0,1,0,0,0,0,1,0,0.979
"depth.by.status+mean.relief+status","depth.by.status+mean.relief+status",872.435124604254,900.389755601387,0.33542,NA,16.47,4,0,1.771,0.533,0.182,1,0,0,0,0,0,0,0,0,0,1,1,0,0.533
"depth.by.status+mean.relief.by.status+status","depth.by.status+mean.relief.by.status+status",873.910833914778,907.808736429946,0.33873,NA,20.71,5,1.476,9.19,0.255,0.004,1,0,0,0,0,0,0,0,0,0,1,1,0,0.788
